name,genre,age_group,runtime,country,director,cast,description,released,popular
3 Generations,"Dramas, LGBTQ Movies",Teens,92,United States,Gaby Dellal,"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",2015,3
3 Heroines,"Dramas, International Movies, Sports Movies",Teens,124,Indonesia,Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan",Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.,2016,2
3 Idiots,"Comedies, Dramas, International Movies",Teens,164,India,Rajkumar Hirani,"Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor",,2009,4
3 Seconds Divorce,"Documentaries, Faith & Spirituality",Teens,53,Canada,Shazia Javed,,"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",2018,5
3 Turken & ein Baby,"Comedies, International Movies",Adults,93,Germany,Sinan AkkuÃÂ,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina KlÃÂ¼ber, Sami Nasser, Kayla Rybicka, Jytte-Merle BÃÂ¶hrnsen, Emrah Erdogru, Tim Grothe, HÃÂ¼lya Duyar",The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,2015,3
30 Days of Luxury,"Comedies, International Movies",Young Adults,91,Egypt,Hani Hamdi,"Taher Farouz, Sad Al-Saghir, Ahmad Faloks, Soleiman Eid, Mahmood El-Laithi, Hesham Ismail, Shaima Saif, Nermin Maher, Sofinar","With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.",2016,5
30 Minutes or Less,"Action & Adventure, Comedies",Young Adults,83,United States,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson",,2011,1
300 Miles to Heaven,"Dramas, International Movies",Young Adults,93,"Denmark, France, Poland",Maciej Dejczer,"Wojciech Klata, Rafal Zimowski, Kama Kowalewska, Jadwiga Jankowska-Cieslak",,1989,3
365 Days,"Dramas, International Movies, Romantic Movies",Adults,114,Poland,"Barbara BiaÃÂowÃÂs, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, BronisÃÂaw WrocÃÂawski, Otar Saralidze, Magdalena Lamparska, Natasza UrbaÃÂska, GraÃÂ¼yna SzapoÃÂowska, Tomasz Stockinger, Gianni Parisi, Mateusz ÃÂasowski","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",2020,1
37 Seconds,"Dramas, International Movies",Adults,116,Japan,Hikari,"Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi","Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",2020,5
40 Sticks,"International Movies, Thrillers",Young Adults,93,Kenya,Victor Gatonye,"Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi, Xavier Ywaya","When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer.",2019,5
42 Grams,Documentaries,Adults,81,United States,Jack C. Newell,Jake Bickelhaupt,"After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery.",2017,5
48 Christmas Wishes,"Children & Family Movies, Comedies",Kids,84,Canada,"Marco Deufemia, Justin G. Dyck","Khiyla Aynne, Noah Dyer, Maya Franzoi, Clara Kushnir, Madeline Leon, Liam MacDonald, Matt Schichter, Ethan Yang, Adam Crew","When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.",2017,1
4L,"Comedies, Dramas, Independent Movies",Adults,105,Spain,Gerardo Olivares,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",2019,4
4th Man Out,"Comedies, LGBTQ Movies",Unknown,86,United States,Andrew Nackman,"Evan Todd, Parker Young, Chord Overstreet, Jon Gabrus, Kate Flannery, Brooke Dillman, Jennifer Damiano, Jordan Lane Price, Alex Rennie, Jake Epstein","A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy.",2015,1
4th Republic,"Dramas, International Movies, Thrillers",Adults,120,Nigeria,Ishaya Bako,"Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani MuÃ¢ÂÂazu, Emil Hirai-Garuba, Rekiya Ibrahim Atta","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",2019,5
