name,genre,age_group,runtime,country,director,cast,description,released,popular
Jack and the Cuckoo-Clock Heart,"Children & Family Movies, Music & Musicals",Teens,93,"France, Belgium","StÃ¯Â¿Â½phane Berla, Mathias Malzieu","Mathias Malzieu, Olivia Ruiz, Grand Corps Malade, Jean Rochefort",,2013,2
Jack of all Trades,"Documentaries, Sports Movies",Adults,86,Canada,"Harvey Glazer, Stuart Stone",,"Once upon a time, baseball cards were as much an American pastime as the sport. But then scandal rocked the multi-million-dollar industry for good.",2018,3
Jack Whitehall: At Large,Stand-Up Comedy,Adults,68,United Kingdom,Brian Klein,Jack Whitehall,"Comedian Jack Whitehall takes the stage to tell stories about drinking, drugs, a Google Maps van and his ongoing rivalry with Robert Pattinson.",2017,1
Jack Whitehall: Christmas with My Father,Stand-Up Comedy,Adults,65,United Kingdom,Richard van't Riet,"Jack Whitehall, Michael Whitehall, Hugh Bonneville, Graham Norton, Layton Williams, Andrew Lloyd Webber, Tim Rice, Tan France, Antoni Porowski, Jonathan Van Ness","Jack Whitehall invites his notoriously stuffy father onstage in London's West End for a Christmas comedy extravaganza, complete with celebrity guests.",2019,1
Jack Whitehall: I'm Only Joking,Stand-Up Comedy,Adults,58,United Kingdom,"Dave Skinner, Freddie Waters",Jack Whitehall,"Jack Whitehall hits the stage with hilarious tales about happy couples, life in hotels, human stupidity and his well-traveled father.",2020,4
Jackie Brown,"Dramas, Thrillers",Young Adults,154,United States,Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda",,1997,5
Jackie: A Tale of Two Sisters,Documentaries,Teens,44,United Kingdom,Edward Cotterill,Rachael Stirling,"Rachael Stirling narrates this multifaceted portrait of former First Lady Jacqueline Kennedy Onassis and her younger sister, Lee Radziwill.",2017,4
Jackpot,"Comedies, Dramas, International Movies",Young Adults,92,Vietnam,Michael Polish,"Jon Gries, Daryl Hannah, Garrett Morris, Patrick Bauchau",,2015,2
Jacob's Ladder,Thrillers,Young Adults,90,United States,Adrian Lyne,"Tim Robbins, Elizabeth PeÃ¯Â¿Â½a, Danny Aiello, Matt Craven",,2019,1
Jada,"Dramas, International Movies, Sports Movies",Young Adults,124,India,Kumaran,"Kathir, Kishore Kumar G., Roshini, Yogi Babu, Kishore","Wishing to settle an old score, a promising soccer player defies his coachÃ¢ÂÂs wishes and leads his team to participate in a violent form of the sport.",2019,3
Jag alskar dig: En skilsmassokomedi,"Comedies, Dramas, International Movies",Adults,91,Sweden,Johan Brisinger,"BjÃÂ¶rn Kjellman, Christine Meltzer, Rodolfo Corsato, Martina Haag, Sven-Bertil Taube, Anita Wall, Nour El-Refai","Tired of her passionless marriage, Marianne wants a separation from her husband, Gustav, who, in response, decides to make a big change of his own.",2016,2
Jagat,"Dramas, International Movies",Adults,76,Malaysia,Shanjey Kumar Perumal,"Harvind Raj, Jibrail Rajhula, Tinesh Sarathi Krishnan, Kuben Mahadevan, Senthil Kumaran Muniandy","In early 1990s Malaysia, a Tamilian boy faces pressure from his immigrant father to focus on school but is drawn to his unclesÃ¢ÂÂ lives of crime.",2015,2
Jagga Jasoos,"Action & Adventure, Comedies, International Movies",Young Adults,155,India,Anurag Basu,"Ranbir Kapoor, Katrina Kaif, Saurabh Shukla, Saswata Chatterjee, Rajatabha Dutta, Saravajeet Tiwari","An eccentric, self-proclaimed detective goes on an action-packed hunt for his missing father, with an awkward but adventurous journalist by his side.",2017,5
Jai Mummy Di,"Comedies, International Movies, Romantic Movies",Adults,101,India,Navjot Gulati,"Poonam Dhillon, Supriya Pathak, Sunny Singh, Sonalli Sehgall, Rajendra Sethi, Veer Rajwant Singh, Danish Husain, Alok Nath","Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the womenÃ¢ÂÂs longstanding war.",2020,5
Jail,"Dramas, International Movies",Young Adults,132,India,Madhur Bhandarkar,"Neil Nitin Mukesh, Manoj Bajpayee, Mugdha Godse, Arya Babbar, Chetan Pandit, Rahul Singh, Navni Parihar, Manish Mehta","Incarcerated for a crime he didnÃ¢ÂÂt commit, a young man must navigate the crowded, cut-throat environment of prison as he awaits trial.",2009,3
Jailbreak,"Action & Adventure, International Movies",Adults,92,Cambodia,Jimmy Henderson,"Jean-Paul Ly, Dara Our, Tharoth Sam, Dara Phang, Celine Tran, Savin Phillip, Sok Visal",Four cops escorting a mobster to a high-security prison fight for survival when a gang boss orchestrates a riot from outside to silence their charge.,2017,4
Jake's Buccaneer Blast,Movies,Kids,22,,,"Megan Richie, Riley Thomas Stewart, Jadon Sand, David Arquette, Jeff Bennett, Corey Burton, Adam Wylie, Dee Bradley Baker","Jake, Izzy, Cubby and Skully face off against the scheming Captain Hook in a race to find special treasures hidden all around Never Land.",2014,3
Jal,"Dramas, Independent Movies, International Movies",Young Adults,132,India,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh",A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.,2013,1
Jalpari: The Desert Mermaid,"Dramas, Independent Movies, International Movies",Young Adults,94,India,Nila Madhab Panda,"Lehar Khan, Krishang Trivedi, Parvin Dabas, Suhasini Mulay, V.M. Badola, Tannishtha Chatterjee, Rahul Singh, Harsh Mayar","When they travel to their father's ancestral village, city kids expecting a natural paradise instead find a poor, dusty town that harbors secrets.",2012,4
Janaan,"Comedies, Dramas, International Movies",Young Adults,132,Pakistan,Azfar Jafri,"Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz","After 11 years in Canada, young Meena returns to her native Pakistan for a family wedding and becomes romantically entangled with an adopted cousin.",2016,5
Jandino: Whatever it Takes,Stand-Up Comedy,Adults,94,United Kingdom,,Jandino Asporaat,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",2016,3
Jani Duenas: Grandes fracasos de ayer y hoy,Stand-Up Comedy,Adults,77,Chile,"RaÃÂºl Campos, Jan Suter",Jani DueÃÂ±as,"Chilean comedian and personality Jani DueÃÂ±as pours out her feelings on issues that are all too universal, from aging to dieting to sex.",2018,4
Jaoon Kahan Bata Ae Dil,"Dramas, Independent Movies, International Movies",Adults,107,India,Aadish Keluskar,"Khushboo Upadhyay, Rohit Kokate, Himanshu Kohli, Mohammed Shakir","A coupleÃ¢ÂÂs caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams.",2018,3
Jarhead: Law of Return,"Action & Adventure, Dramas",Young Adults,103,"Israel, United States",Don Michael Paul,"Amaury Nolasco, Devon Sawa, Robert Patrick, Jeff Pierre, Ben Cross, Amos Tamam, Yael Eitan, Tsahi Halevi","When a U.S. senatorÃ¢ÂÂs son is held captive by Hezbollah militiamen, a group of highly trained soldiers ventures into enemy territory to bring him home.",2019,4
Jatt James Bond,"Comedies, Dramas, International Movies",Young Adults,142,India,Rohit Jugraj,"Gippy Grewal, Gurpreet Guggi, Zarine Khan","Shinda loves Laali but can't have her, so he and his friends come up with an elaborate plan to solve all their problems and win her.",2014,5
Jatts in Golmaal,"Comedies, International Movies, Music & Musicals",Teens,128,India,Ksshitij Chaudhary,"Arya Babbar, Samiksha Singh, Gurpreet Guggi, Binnu Dhillon, Jaswinder Bhalla, B.N. Sharma, Veena Malik, Sardar Sohi","Without fully realizing the consequences, a boy who wants to relocate from India to Canada sells his heart to a gangster in need of a transplant.",2013,1
Jay and Silent Bob Strike Back,"Comedies, Cult Movies",Young Adults,105,United States,Kevin Smith,"Jason Mewes, Kevin Smith, Ben Affleck, Jeff Anderson",,2001,2
Jealousy and medicine,"Dramas, International Movies, Romantic Movies",Adults,97,Poland,Janusz Majewski,"Mariusz Dmochowski, Ewa KrzyÃÂ¼ewska, WÃÂodzimierz BoruÃÂski, Andrzej Mrowiec, JÃÂ³zef RosiÃÂski, Piotr KÃÂkolewski, Beata Nowicka, Edmund Fetting, GraÃÂ¼yna Staniszewska, Andrzej ÃÂapicki","Tormented by mistrust, a businessman hires a cagey tailor to track his wife's whereabouts with her doctor only to send his mind further down an abyss.",1973,2
Jefe,"Comedies, Dramas, International Movies",Adults,90,"Spain, Portugal",Sergio BarrejÃÂ³n,"Luis Callejo, Juana Acosta, Carlo D'Ursi, Josean Bengoetxea, BÃÂ¡rbara Santa-Cruz, Maica Barroso, Adam Jezierski, Sergio Quintana","A rude, self-centered businessman seems to be on the brink of losing everything until a night janitor at his office helps him find redemption.",2018,4
Jeff Dunham: All Over the Map,Stand-Up Comedy,Adults,84,United States,"Rob Dipple, Robb Dipple","Jeff Dunham, Jeff Rothpan",,2014,5
Jeff Dunham: Arguing with Myself,Stand-Up Comedy,Adults,69,United States,Manny Rodriguez,Jeff Dunham,,2006,2
Jeff Dunham: Beside Himself,Stand-Up Comedy,Adults,58,United States,Troy Miller,Jeff Dunham,"Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, JosÃÂ© JalapeÃÂ±o, Bubba J and Achmed to poke fun at himself and American culture.",2019,4
Jeff Dunham: Controlled Chaos,Stand-Up Comedy,Adults,97,United States,"Michael Simon, Matthew McNeil",Jeff Dunham,,2011,4
Jeff Dunham: Minding the Monsters,Stand-Up Comedy,Adults,80,United States,Manny Rodriguez,Jeff Dunham,,2012,2
Jeff Dunham: Relative Disaster,Stand-Up Comedy,Adults,71,United States,Michael Simon,Jeff Dunham,Ventriloquist Jeff Dunham brings his rude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics.,2017,4
Jeff Dunham: Unhinged in Hollywood,Stand-Up Comedy,Adults,71,United States,Michael Simon,Jeff Dunham,Unfiltered ventriloquist Jeff Dunham brings his ragtag crew of puppet pals to Hollywood for big laughs about celebrity culture and California living.,2015,3
Jeff Dunham's Very Special Christmas Special,Stand-Up Comedy,Adults,85,United States,Michael Simon,"Jeff Dunham, Brian Haner",,2008,4
Jeff Foxworthy and Larry the Cable Guy: Weve Been Thinking...,Stand-Up Comedy,Young Adults,75,United States,Jay Karas,"Jeff Foxworthy, Larry the Cable Guy",Grammy-nominated comedians Jeff Foxworthy and Larry the Cable Guy bring their distinctive brand of humor to a packed crowd in Minneapolis.,2016,2
Jeff Garlin: Our Man In Chicago,Stand-Up Comedy,Adults,59,United States,Christopher Storer,Jeff Garlin,"Comedian Jeff Garlin (unintentionally) celebrates his 37th year of stand-up and shares his learnings on love, loss, success and food addiction.",2019,2
Jem and the Holograms,"Dramas, Music & Musicals, Sci-Fi & Fantasy",Teens,119,United States,Jon M. Chu,"Molly Ringwald, Stefanie Scott, Juliette Lewis, Ryan Guzman",,2015,2
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Stand-Up Comedy,Adults,78,United States,Lance Bangs,"Kelly Cameron, Wilder S. Patton, Carol Hickey, Fermin Navar",,2015,2
Jen Kirkman: Just Keep Livin?,Stand-Up Comedy,Adults,69,United States,Lance Bangs,Jen Kirkman,"Incisive comic Jen Kirkman gets real about women's bodies, the value of alone time and an Italian private tour guide who may have been a ghost.",2017,1
Jenny Slate: Stage Fright,"Documentaries, Stand-Up Comedy",Adults,67,United States,Gillian Robespierre,Jenny Slate,"Jenny Slate's first stand-up special is a mix of stage time, funny stories about adulthood and conversations with family in her childhood home.",2019,5
Jeremiah Tower: The Last Magnificent,Documentaries,Young Adults,103,"Mexico, United States",Lydia Tenaglia,"Jeremiah Tower, Anthony Bourdain, Mario Batali, Ruth Reichl","This documentary profiles influential chef Jeremiah Tower, who played a pivotal role in the invention of a revolutionary new American cuisine.",2016,5
Jeremy Scott: The People's Designer,Documentaries,Teens,109,United States,Vlad Yudin,Jeremy Scott,The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.,2015,4
Jerry Before Seinfeld,Stand-Up Comedy,Young Adults,62,United States,Michael Bonfiglio,Jerry Seinfeld,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy.",2017,2
Jerry Seinfeld: 23 Hours To Kill,Stand-Up Comedy,Teens,61,United States,Joe DeMaio,Jerry Seinfeld,"Jerry Seinfeld takes the stage in New York and tackles talking vs. texting, bad buffets vs. so-called ""great"" restaurants and the magic of Pop Tarts.",2020,4
Jerry Seinfeld: Comedian,Documentaries,Young Adults,81,United States,Christian Charles,"Jerry Seinfeld, Orny Adams, Colin Quinn, Bill Cosby, Robert Klein, Chris Rock, Garry Shandling, Jay Leno, Kevin Nealon, Ray Romano",Christian Charles's documentary follows established comedian Jerry Seinfeld and up-and-comer Orny Adams as they navigate the stand-up circuit.,2002,1
Jerry Seinfeld: I'm Telling You for the Last Time,Stand-Up Comedy,Young Adults,69,United States,Marty Callner,Jerry Seinfeld,"Months after his classic TV sitcom ends, the legendary comic returns to his stand-up roots to deliver his best jokes on a sold-out international tour.",1998,4
Jersey Boys,"Dramas, Music & Musicals",Young Adults,134,United States,Clint Eastwood,"Vincent Piazza, John Lloyd Young, Steve Schirripa, Christopher Walken",,2014,5
Jessica Darling's It List,"Children & Family Movies, Comedies",Kids,80,United States,Ali Scher,"Chloe East, Emma Rayne Lyle, Jane Widdop, Jane Sibbett, Eric Lutes, Blair Fowler, Ashley Liao, Eva Bella, Kimrie Lewis-Davis, Abraham Benrubi","Armed with popularity tips from her beautiful older sister, precocious Jessica Darling prepares to navigate the treacherous world of seventh grade.",2016,2
Jesus: Countdown to Calvary,"Documentaries, Faith & Spirituality",Young Adults,53,"Ireland, United States, France",Gerry Hoban,Hugh Bonneville,Host Hugh Bonneville traces Jesus' last days to learn how the execution of an itinerant Jewish preacher had an immense impact on society.,2018,2
Jewel's Catch One,"Documentaries, LGBTQ Movies",Adults,84,United States,C. Fitz,Jewel Thais-Williams,"The story of famed L.A. nightclub Catch One and owner Jewel Thais-Williams, who defied all odds and provided a safe space for black LGBT communities.",2016,4
Jezebel,"Dramas, Independent Movies",Adults,86,United States,William Wyler,"Bette Davis, Henry Fonda, George Brent, Margaret Lindsay",,2019,1
JFK: The Making of a President,Documentaries,Teens,44,United Kingdom,Edward Cotterill,,"Explore how John F. Kennedy's worldview was influenced by his younger years, when he endured poor health, family tragedy and a demanding father.",2017,3
Jhankaar Beats,"Comedies, International Movies, Music & Musicals",Young Adults,131,India,Sujoy Ghosh,"Rahul Bose, Sanjay Suri, Rinke Khanna, Riya Sen, Juhi Chawla, Shayan Munshi","Juggling personal predicaments and workplace woes, three buddies and bandmates practice for their ultimate dream: winning a coveted music competition.",2003,5
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Documentaries,Adults,94,"Canada, United States",Chris Smith,Jim Carrey,"Through the lens of his stunningly immersive performance as Andy Kaufman, Jim Carrey ponders the meaning of life, reality, identity and career.",2017,5
Jim Gaffigan: Beyond the Pale,Stand-Up Comedy,Young Adults,72,United States,Michael Drumm,Jim Gaffigan,,2005,4
Jim Gaffigan: Cinco,Stand-Up Comedy,Young Adults,74,United States,Jeannie Gaffigan,Jim Gaffigan,America's king of clean comedy delivers wickedly funny jokes in his fifth hour-long special.,2017,3
Jim Gaffigan: King Baby,Stand-Up Comedy,Teens,71,United States,Troy Miller,Jim Gaffigan,,2009,3
Jim Gaffigan: Mr. Universe,Stand-Up Comedy,Young Adults,77,United States,Jay Karas,Jim Gaffigan,,2012,5
Jim Gaffigan: Obsessed,Stand-Up Comedy,Young Adults,70,United States,Jay Chapman,Jim Gaffigan,,2014,2
Jim Jefferies : BARE,Stand-Up Comedy,Adults,77,United States,Shannon Hartman,Jim Jefferies,"Nothing is sacred in this show from Australian comic Jim Jefferies, whether itÃ¢ÂÂs the mother of his child, auditioning disabled actors, or gun control.",2014,5
Jim Jefferies: Freedumb,Stand-Up Comedy,Adults,87,United States,Ryan Polito,Jim Jefferies,"Returning for a second Netflix comedy special, Jim Jefferies unleashes his famously ferocious black humor to a packed house in Nashville, Tennessee.",2016,4
Jim Jefferies: Intolerant,Stand-Up Comedy,Adults,67,,Scott Zabielski,Jim Jefferies,"Between scenes from anÃÂ excruciating date, Jim Jefferies digs into generational differences, his own bad habits and the shifting boundaries in comedy.",2020,2
Jim Jefferies: This Is Me Now,Stand-Up Comedy,Adults,71,United States,Scott Zabielski,Jim Jefferies,"The gleefully irreverent Jefferies skewers ""grabby"" celebrities, political hypocrisy and his own ill-advised career moves in a brash stand-up special.",2018,4
Jim Norton: Mouthful of Shame,Stand-Up Comedy,Adults,62,United States,Shannon Hartman,Jim Norton,"In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities.",2017,3
Jimi Hendrix,"Documentaries, Music & Musicals",Young Adults,102,United States,"Joe Boyd, John Head, Gary Weis","Arthur Allen, Albert Allen, Stella Benabon, Eric Barrett",,1973,4
Jimmy Carr: Funny Business,Stand-Up Comedy,Adults,62,United Kingdom,Sam Wrench,Jimmy Carr,British comedian Jimmy Carr unleashes his deadpan delivery and wickedly funny one-liners to a sold-out audience at the UK's Hammersmith Apollo.,2016,5
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,Stand-Up Comedy,Adults,58,,Brian Klein,Jimmy Carr,Nothing is off limits as Jimmy Carr serves up the most outrageous jokes from his stand-up career in a special that's not for the faint of heart.,2019,4
Jimmy Neutron: Boy Genius,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",Kids,83,United States,John A. Davis,"Megan Cavanagh, Mark DeCarlo, Debi Derryberry, Jeffrey Garcia",,2001,3
Jindua,"Dramas, International Movies, Romantic Movies",Young Adults,135,India,Navaniat Singh,"Jimmy Shergill, Sargun Mehta, Neeru Bajwa, Bhavkhandan Singh Rakhra, Arkie Kandola, Nina Rehill, Rajiv Thakur, Harjap Singh Bhangal, Balinder Johal, Carolyn Bridget Kennedy, Sonia Dhillon, Jimmy Sheirgill",An Indian man in Canada marries a local citizen to legalize his immigration status. The only problem? His girlfriend isn't thrilled about his new wife.,2017,3
Jingle Jangle: A Christmas Journey,"Children & Family Movies, Music & Musicals",Teens,124,United States,David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin, Justin Cornwell, Sharon Rose, Lisa Davina Phillip, Kieron Dyer","Decades after his trusted apprentice betrayed him, a once-joyful toymaker finds new hope when his kind and curious granddaughter comes into his life.",2020,5
Jinxed,"Children & Family Movies, Comedies",Kids,69,"United States, Canada",Stephen Herek,"Ciara Bravo, Jacob Bertrand, Elena Kampouris, Jack Griffo, Donavon Stinson, Keegan Connor Tracy, Jay Brazeau","After a century-old curse of bad luck, a determined teen embarks on a journey to break her familyÃ¢ÂÂs generational misfortune.",2013,4
Jiro Dreams of Sushi,Documentaries,Teens,79,United States,David Gelb,"Masuhiro Yamamoto, Daisuke Nakazama, Hachiro Mizutani, Harutaki Takahashi",,2011,2
Jis Desh Men Ganga Behti Hai,"Action & Adventure, Dramas, International Movies",Young Adults,181,,Radhu Karmakar,"Raj Kapoor, Padmini, Pran, Chanchal, Lalita Pawar, Raj Mehra, Tiwari, Nana Palsikar, Nayampally, Sulochana Chatterjee","Falling in with a band of outlaws during a holy pilgrimage, a country boy tries to change their violent ways ahead of a showdown with the authorities.",1960,2
Jo Koy: Comin' In Hot,Stand-Up Comedy,Adults,60,United States,Shannon Hartman,Jo Koy,"Comedian Jo Koy takes center stage in Hawaii and shares his candid take on cultural curiosities, filter-free fatherhood and more.",2019,4
Jo Koy: In His Elements,Stand-Up Comedy,Adults,55,United States,Michael McKay,"Jo Koy, Andrew Lopez, Joey Guila, Andrew Orolfo","Jo Koy brings the laughs and beats to Manila, spotlighting local culture in a one-of-a-kind show featuring Filipino American comedians, DJs and B-boys.",2020,1
Jo Koy: Live from Seattle,Stand-Up Comedy,Adults,63,United States,Shannon Hartman,Jo Koy,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it.",2017,3
Jo Pil-ho: The Dawning Rage,"Dramas, International Movies, Thrillers",Adults,128,South Korea,Lee Jeong-beom,"Lee Sun-kyun, Jeon So-nee, Park Hae-joon, Song Young-chang, Park Byung-eun, Lim Hyung-kuk, Kim Min-jae, Kwon Han-sol, Nam Mun-cheol, Lim Cheol-su","On the run from a dogged internal affairs agent, a corrupt cop reluctantly teams up with a defiant teen to unravel a conspiracy Ã¢ÂÂ before it's too late.",2018,3
Joan Didion: The Center Will Not Hold,Documentaries,Young Adults,98,United States,Griffin Dunne,Joan Didion,"Literary icon Joan Didion reflects on her remarkable career and personal struggles in this intimate documentary directed by her nephew, Griffin Dunne.",2017,1
Joan Rivers: Don't Start with Me,Stand-Up Comedy,Adults,69,United States,Scott L. Montoya,Joan Rivers,"At 78, Joan Rivers has no interest in slowing down, and no one's immune from her caustic barbs in this stand-up special.",2012,3
Joaquin Reyes: Una y no mas,Stand-Up Comedy,Adults,78,,JosÃÂ© Miguel Contreras,JoaquÃÂ­n Reyes,"Comedian and celebrity impersonator JoaquÃÂ­n Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",2017,2
Jodhaa Akbar,"Action & Adventure, Dramas, International Movies",Young Adults,214,India,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha",,2008,4
Joe Cocker: Mad Dog with Soul,"Documentaries, International Movies, Music & Musicals",Young Adults,90,United Kingdom,John Edginton,,"From his star turn at Woodstock to his battles with addiction, this film chronicles the stormy life and unique talent of soulful singer Joe Cocker.",2017,3
Joe Mandes Award-Winning Comedy Special,Stand-Up Comedy,Adults,67,United States,Daniel Gray Longino,Joe Mande,"Stand-up comic Joe Mande aims for critical adulation with this special that covers dating shows, ""Shark Tank,"" Jewish summer camp and much more.",2017,3
Joe Rogan: Strange Times,Stand-Up Comedy,Adults,64,,Anthony Giordano,Joe Rogan,"Outspoken as ever, comedian Joe Rogan takes on current culture, pro wrestling, pot laws, cats, vegans and more in a stand-up special shot in Boston.",2018,5
Joe Rogan: Triggered,Stand-Up Comedy,Adults,64,United States,Anthony Giordano,Joe Rogan,"Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins.",2016,5
John & Jane,"Documentaries, International Movies",Young Adults,79,India,Ashim Ahluwalia,,Truth and fiction blend in this quasi-documentary about six exhausted workers at a Mumbai call center servicing U.S. customers.,2005,5
John & Yoko: Above Us Only Sky,"Documentaries, Music & Musicals",Adults,90,United Kingdom,Michael Epstein,"John Lennon, Yoko Ono","Featuring interviews and never-before-seen footage, this film tells the story behind John Lennon and Yoko OnoÃ¢ÂÂs seminal 1971 album, Ã¢ÂÂImagine.Ã¢ÂÂ",2018,4
John Carter,"Action & Adventure, Sci-Fi & Fantasy",Teens,133,United States,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",,2012,5
John Day,"International Movies, Thrillers",Adults,125,India,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda, Shernaz Patel, Elena Kazan, Sharat Saxena, Vipin Sharma, Denzil Smith, Kenneth Desai, Sushil Pandey","A bank manager and his wife, still grieving over their daughter who died in a fire, become pawns in a bank heist with ties to corruption and fraud.",2013,1
John Henry,"Dramas, Thrillers",Young Adults,92,United States,Mark Henn,"Alfre Woodard, Geoffrey Jones, Tim Hodge, Dave Murray",,2020,2
John Leguizamo's Latin History for Morons,Stand-Up Comedy,Adults,90,United States,,John Leguizamo,"In this one-man Broadway show, John Leguizamo finds humor and heartbreak as he traces 3,000 years of Latin history in an effort to help his bullied son.",2018,2
John Mellencamp: Plain Spoken,"Documentaries, Music & Musicals",Adults,80,,,John Mellencamp,Iconic rocker John Mellencamp lights up Chicago in an electrifying live performance featuring old classics and new tracks.,2017,1
John Mulaney & The Sack Lunch Bunch,"Children & Family Movies, Comedies",Teens,70,United States,Rhys Thomas,"John Mulaney, Alexander Bello, Tyler Bourke, Ava Briglia, Cordelia Comando, Camille De La Cruz, Oriah Elgrabli, Jake Ryan Flynn, Orson Hong, Isabella Iannelli, Jacob Laval, Suri Marrero, Zell Steele Morrow, Jonah Mussolino, Lexi Perkel, Linder Sutton","John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",2019,3
John Mulaney: Kid Gorgeous at Radio City,Stand-Up Comedy,Adults,65,United States,Alex Timbers,John Mulaney,"John Mulaney relays stories from his childhood and Ã¢ÂÂSNL,Ã¢ÂÂ eviscerates the value of college and laments getting older in this electric comedy special.",2018,3
John Mulaney: New in Town,Stand-Up Comedy,Adults,60,United States,"Ryan Polito, Jake Szymanski",John Mulaney,,2012,3
John Mulaney: The Comeback Kid,Stand-Up Comedy,Adults,62,United States,Rhys Thomas,John Mulaney,"Armed with boyish charm and a sharp wit, the former ""SNL"" writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.",2015,3
John Was Trying to Contact Aliens,"Documentaries, LGBTQ Movies",Teens,17,United States,,,"A rural electronics whiz broadcasts radio signals into space and monitors for signs of aliens, but makes a more important connection here on Earth.",2020,5
Joker,"Comedies, International Movies, Music & Musicals",Teens,98,India,Shirish Kunder,"Asrani, Avtar Gill, Gurpreet Guggi, Greg Heffernan",,2012,1
Jonaki,"Dramas, Independent Movies, International Movies",Adults,96,India,Aditya Vikram Sengupta,"Lolita Chatterjee, Sumanto Chattopadhyay, Ratnabali Bhattacharjee, Jim Sarbh, Indrajit Sinha, Sandershika Tamang, Arunima Sinha, Satya Priya Chakraborty, Christel Das, Burjor Patel","In this quiet, wistful drama, a woman on her deathbed searches her fraying memories for love and fulfillment through surreal, meditative tableaux.",2018,5
Jonas,"Dramas, International Movies",Adults,97,Brazil,Robert Wilde,Christian Ulmen,,2015,2
Jonathan,"Dramas, Independent Movies, Sci-Fi & Fantasy",Adults,101,United States,Bill Oliver,"Ansel Elgort, Suki Waterhouse, Douglas Hodge, Patricia Clarkson, Matt Bomer, Souleymane Sy Savane, Shunori Ramanathan, Joe Egender","Two siblings share a body, each getting it for 12 hours a day. But when one of them breaks the rules, their whole way of life comes crashing down.",2018,5
Jora 10 Numbaria,"Action & Adventure, International Movies",Adults,135,India,Amardeep Singh Gill,"Deep Sidhu, Dharmendra, Ashish Duggal, Aman Hundal, Pali Sidhu, Mukesh Tiwari, Mukul Dev","The wounds of a traumatic childhood and a corrupt, unjust system push a young man into becoming a cold-blooded, ruthless gangster.",2017,1
Joseph: King of Dreams,"Children & Family Movies, Dramas, Faith & Spirituality",Teens,75,United States,"Rob LaDuca, Robert C. Ramirez","Ben Affleck, Mark Hamill, Richard Herd, Maureen McGovern",,2000,1
Joshua: Teenager vs. Superpower,Documentaries,Young Adults,79,United States,Joe Piscatella,,"Mobilized by teenage activist Joshua Wong, young citizens of Hong Kong take to the streets in a bid to preserve their history of autonomy from China.",2017,5
Journey to Greenland,"Comedies, International Movies",Young Adults,99,France,SÃÂ©bastien Betbeder,"Thomas Blanchard, Thomas Scimeca, FranÃÂ§ois Chattot, Ole Eliassen, Adam Eskilden","When they flee Paris for a remote village in Greenland, two part-time actors become immersed in the archaic Inuit culture and forge unexpected bonds.",2016,5
Joy,"Dramas, Independent Movies, International Movies",Adults,101,Austria,Mijke de Jong,"Samira Maas, Coosje Smid, Dragan Bakema, Sharon Schouten",,2019,2
Juanita,"Dramas, Independent Movies, Romantic Movies",Adults,90,United States,Clark Johnson,"Alfre Woodard, Adam Beach, LaTanya Richardson Jackson, Marcus Henderson, Blair Underwood, Ashlie Atkinson, Tsulan Cooper","Burdened by troubles in life and love, a mother of three grown children searches for hope and healing on an impromptu trip to Paper Moon, Montana.",2019,3
